Name,Symbol,Price (USD),Market Cap,24h Change (%)
Bitcoin,BTC,117584.0,2339214893666,-0.40151
Ethereum,ETH,2940.53,355013265321,-2.07273
XRP,XRP,2.74,161751734175,-4.0484
Tether,USDT,1.0,159430563911,-0.00943
BNB,BNB,684.71,99893745715,-1.40287
Solana,SOL,160.6,86086478257,-2.26642
USDC,USDC,0.9999,63623578227,-0.00041
Dogecoin,DOGE,0.197317,29610672948,-6.35989
TRON,TRX,0.300174,28444586561,-0.58468
Lido Staked Ether,STETH,2939.32,26830651960,-2.16282
Cardano,ADA,0.706607,25535218179,-4.77588
Hyperliquid,HYPE,46.63,15565239936,-0.06679
Wrapped Bitcoin,WBTC,117306.0,15113810467,-0.5217
Wrapped stETH,WSTETH,3550.98,12146571019,-1.9147
Stellar,XLM,0.385533,11964120932,0.50063
Sui,SUI,3.4,11740092742,-3.18425
Chainlink,LINK,15.04,10197871369,-4.61515
Bitcoin Cash,BCH,509.04,10128630752,-5.0892
Avalanche,AVAX,20.71,8742681222,-2.80719
LEO Token,LEO,9.08,8386418056,0.60092
